,O3 (ppb),CO (ppm),SO2 (μg/m³),NO2 (μg/m³),PM2.5 (μg/m³),PM10 (μg/m³),Polluted
78,75,0.2,110,108,32,60,1
79,21,1.0,60,100,74,5,1
80,250,0.2,60,40,86,55,1
81,37,0.6,90,42,8,55,0
82,72,0.5,126,32,3,26,0
83,77,0.4,51,41,54,24,0
84,89,0.4,27,48,90,37,0
85,91,0.0,138,106,59,65,1
86,227,0.4,40,46,81,71,1
87,111,0.3,83,23,65,10,0
88,231,0.8,14,119,83,51,1
89,78,0.2,123,88,22,69,1
90,113,0.0,24,101,11,60,0
91,54,0.7,145,29,46,42,1
92,137,0.1,18,91,15,56,0
93,203,0.7,96,41,10,18,0
94,110,0.5,147,52,20,19,0
95,39,0.2,47,35,17,60,0
96,41,0.3,124,108,23,53,1
97,131,0.4,140,52,43,47,1
98,9,0.2,8,37,40,61,0
99,145,0.6,61,80,6,92,1
100,97,0.1,126,83,98,5,1
101,133,0.9,106,128,98,20,1
102,151,0.1,94,106,32,64,1
103,47,0.2,88,109,73,16,0
104,130,0.1,76,28,84,94,1
105,244,0.4,37,64,94,89,1
106,117,0.8,72,79,53,17,1
107,54,0.4,100,78,32,50,1
108,88,0.1,96,78,63,35,1
109,161,0.6,111,88,62,20,1
110,154,0.3,10,30,46,68,0
111,67,0.1,129,43,29,51,1
112,202,0.6,20,108,58,84,1
113,106,0.0,49,11,79,7,0
114,10,0.5,8,24,44,91,0
115,182,0.1,107,24,17,87,0
116,181,0.4,133,31,8,36,0
117,107,0.7,19,55,42,39,1
118,32,0.4,11,52,99,7,0
119,163,0.5,52,28,70,56,1
120,142,0.9,113,44,90,26,1
121,224,0.9,140,123,4,11,1
122,133,0.4,73,61,73,82,1
123,89,1.0,90,50,61,9,1
124,137,0.5,99,96,32,16,1
125,128,0.4,44,45,17,29,0
126,194,0.6,90,37,81,28,1
127,135,0.6,92,57,87,89,1
128,13,0.2,26,125,89,72,0
129,150,0.3,84,38,16,93,0
130,175,0.5,29,119,16,73,0
131,159,0.9,149,32,62,79,1
132,198,1.0,34,114,54,63,1
133,239,0.2,121,127,63,47,1
134,44,0.8,107,69,59,38,1
135,250,0.6,67,82,25,73,1
136,29,0.5,53,47,11,56,0
137,73,0.6,84,114,56,9,1
138,13,0.8,104,115,58,76,1
139,120,0.1,108,16,48,16,0
140,182,0.8,148,66,70,88,1
141,210,0.1,30,58,56,76,1
142,204,0.8,84,69,28,6,1
143,219,0.5,58,75,21,46,1
144,6,0.6,83,82,33,34,1
145,71,0.5,94,121,49,70,1
146,29,0.7,134,74,10,34,0
147,182,0.0,139,15,37,47,1
148,97,0.8,84,123,16,50,1
149,82,0.4,20,17,78,85,0
150,135,0.7,21,102,53,37,1
151,8,0.6,46,30,93,63,1
152,50,0.8,51,16,71,57,1
153,247,0.9,123,119,83,77,1
154,119,1.0,80,27,78,32,1
155,21,0.0,80,84,54,7,0
156,133,0.7,38,71,11,41,1
157,129,0.7,121,31,78,90,1
158,109,0.8,86,71,81,99,1
159,195,0.1,12,92,31,61,1
160,143,0.2,97,100,22,16,1
161,105,0.1,23,35,19,20,0
162,234,1.0,7,66,37,37,1
163,30,0.5,122,14,29,20,0
164,186,0.3,110,79,82,31,1
165,124,0.2,60,45,25,91,1
166,50,0.2,37,59,46,50,1
167,185,0.9,147,64,94,85,1
168,9,0.4,29,80,37,31,0
169,35,0.6,109,32,42,15,0
170,164,1.0,15,128,81,10,1
171,191,0.4,53,94,55,42,1
172,75,0.4,118,98,41,37,1
173,72,0.5,81,96,12,70,1
174,147,0.9,107,44,80,94,1
175,231,0.5,103,98,97,69,1
176,5,0.7,50,15,39,53,1
177,184,1.0,26,54,8,90,1
178,57,0.5,41,105,50,51,1
179,127,0.2,99,59,86,42,1
180,246,0.7,94,48,74,87,1
181,178,0.4,135,64,37,82,1
182,60,0.1,113,87,52,44,1
183,35,0.1,90,81,50,8,0
184,117,0.4,78,105,46,75,1
185,176,0.6,26,93,30,14,1
186,250,0.5,71,15,71,33,0
187,228,0.4,41,13,18,54,0
188,75,0.9,138,67,67,17,1
189,103,0.3,7,100,55,95,1
190,22,0.5,99,19,35,65,0
191,11,1.0,30,71,9,59,0
192,125,0.8,132,17,7,42,0
193,33,0.1,133,107,83,18,0
194,49,0.4,61,38,38,56,0
195,162,0.9,17,34,26,7,0
196,60,0.1,65,26,26,56,1
197,100,0.1,97,51,66,19,1
198,49,1.0,66,14,3,98,0
199,61,0.6,91,58,95,97,1
200,124,0.9,53,83,61,61,1
201,208,0.4,101,120,70,80,1
202,65,0.9,6,101,41,86,1
203,212,0.7,37,13,38,64,1
204,240,0.0,63,63,46,92,1
205,245,0.2,107,119,97,51,1
206,176,0.6,13,70,28,80,1
207,112,0.9,70,37,47,45,1
208,163,0.3,98,78,83,22,1
209,206,1.0,94,78,28,89,1
210,241,0.2,115,96,4,49,1
211,125,0.2,110,109,8,72,1
212,15,0.1,112,61,4,45,0
213,245,0.7,86,68,97,69,1
214,44,0.6,85,68,87,43,1
215,88,0.0,109,44,94,87,1
216,14,0.3,15,62,52,59,0
217,16,0.7,117,60,95,57,1
218,31,0.5,16,90,99,49,0
219,66,0.1,112,62,98,51,1
220,177,0.9,25,12,91,54,1
221,108,0.3,140,111,41,70,1
222,126,0.4,76,68,32,57,1
223,246,0.6,32,123,32,83,1
224,194,0.8,98,33,53,68,1
225,234,1.0,77,125,83,50,1
226,103,0.6,61,111,58,6,1
227,217,0.8,52,96,78,91,1
228,179,0.7,140,92,5,94,1
229,62,0.6,119,117,7,77,1
230,89,0.6,69,42,53,5,1
231,163,0.4,122,55,88,61,1
232,193,0.3,17,27,61,6,0
233,47,0.1,54,82,79,24,0
234,116,0.2,106,28,57,74,1
235,36,0.8,98,26,84,97,1
236,168,0.3,54,45,79,61,1
237,174,0.9,46,111,97,93,1
238,154,0.3,67,79,77,63,1
239,142,0.4,138,76,14,92,1
240,73,0.3,10,10,90,41,0
241,190,1.0,98,94,98,39,1
242,168,0.8,58,114,93,20,1
243,232,1.0,60,86,82,5,1
244,183,0.5,36,14,83,82,1
245,120,0.4,34,79,7,16,0
246,83,0.7,28,97,59,9,1
247,228,0.4,34,72,58,7,0
248,56,0.6,17,51,32,10,1
249,53,0.9,80,54,87,43,1
250,111,0.0,120,109,82,30,1
251,238,0.4,95,20,6,87,0
252,37,0.6,109,56,5,55,1
253,172,0.2,101,59,18,62,1
254,62,0.1,139,21,33,92,1
255,9,0.3,124,103,96,25,0
256,185,0.4,101,67,35,79,1
257,107,0.8,10,32,90,30,0
258,14,0.2,148,85,70,20,0
259,19,0.7,87,28,15,15,0
260,29,0.0,25,70,52,10,0
261,60,0.6,13,47,51,15,0
262,196,0.0,28,13,88,22,0
263,163,0.8,21,51,33,15,1
264,223,0.8,143,37,97,100,1
265,201,0.6,113,22,80,87,1
266,26,0.4,51,23,38,70,0
267,99,0.9,113,56,86,74,1
268,219,0.8,46,81,36,76,1
269,76,0.6,73,35,62,97,1
270,51,0.3,48,88,44,97,1
271,192,1.0,121,83,56,22,1
272,26,0.6,39,57,48,88,1
273,88,0.1,118,41,94,59,1
274,114,0.7,6,130,77,52,1
275,159,1.0,92,88,57,93,1
276,244,0.3,112,23,11,62,0
277,223,0.4,144,127,28,29,1
278,17,0.3,37,75,38,6,0
279,75,1.0,82,43,98,35,1
280,193,0.8,69,84,46,34,1
281,227,0.6,53,58,24,91,1
282,230,0.7,136,88,87,71,1
283,53,0.3,109,62,88,98,1
284,25,0.2,19,102,44,68,0
285,181,0.2,86,15,27,50,1
286,135,0.8,78,64,83,72,1
287,153,0.1,49,115,51,51,1
288,139,0.4,110,28,55,80,1
289,11,0.8,21,23,52,21,0
290,58,0.6,122,39,22,33,1
291,29,0.4,141,77,73,30,0
292,242,0.1,9,94,57,82,1
293,191,0.4,127,26,80,56,1
294,248,0.3,49,41,36,23,0
295,219,0.0,15,92,60,76,1
296,171,0.9,57,89,41,89,1
297,198,0.9,20,31,51,81,1
298,235,0.3,67,107,70,97,1
299,188,0.0,33,49,58,93,0
300,91,0.4,91,68,9,7,0
301,104,0.2,55,29,3,5,0
302,208,0.5,80,14,64,11,0
303,106,0.2,66,25,34,22,0
304,161,0.0,60,127,94,73,1
305,161,0.3,121,91,64,49,1
306,139,0.0,86,118,84,82,1
307,22,0.5,130,28,59,75,0
308,213,0.2,52,84,35,68,1
309,10,0.7,54,57,55,78,1
310,176,0.4,98,117,55,69,1
311,184,1.0,64,105,93,53,1
312,35,0.7,90,89,12,79,1
313,73,0.2,95,81,39,50,1
314,173,0.6,23,127,55,26,1
315,160,0.7,118,32,13,24,0
316,35,0.8,142,82,92,96,1
317,58,1.0,90,86,75,67,1
318,123,0.4,56,110,56,96,1
319,237,1.0,104,100,79,44,1
320,220,0.1,142,72,40,77,1
321,228,0.5,48,30,95,84,1
322,54,0.1,45,81,4,22,0
323,161,0.1,74,72,58,100,1
324,250,0.8,111,19,37,92,1
325,64,0.8,27,103,55,75,1
326,156,0.2,124,11,56,55,1
327,167,0.6,96,117,69,89,1
328,249,1.0,82,86,18,35,1
329,129,0.5,64,38,38,98,1
330,189,0.8,91,20,55,12,1
331,241,0.4,17,117,85,9,0
332,64,0.7,138,58,24,41,1
333,77,0.7,64,18,97,31,1
334,175,0.2,36,129,63,15,1
335,134,0.8,26,53,90,15,1
336,172,0.3,73,62,29,22,1
337,221,0.1,41,26,47,27,0
338,232,0.0,10,52,16,49,0
339,173,0.3,9,24,54,22,0
340,33,0.4,85,70,60,82,1
341,173,0.4,121,124,25,52,1
342,113,0.8,13,108,12,91,1
343,37,0.5,30,43,46,73,0
344,177,0.7,82,125,60,70,1
345,184,0.2,129,31,6,32,0
346,52,0.2,55,112,33,7,1
347,183,0.1,77,82,85,95,1
348,8,1.0,129,37,12,19,0
349,19,0.0,145,48,60,69,0
350,121,0.3,29,31,18,25,0
351,221,0.1,45,58,27,29,1
352,212,0.3,58,44,62,70,1
353,233,0.9,121,80,60,42,1
354,28,0.9,135,120,45,80,1
355,132,0.5,31,73,98,96,1
356,189,0.0,134,51,30,80,1
357,50,0.5,54,75,47,39,0
358,106,0.5,73,123,70,56,1
359,246,0.3,110,63,47,57,1
360,59,0.4,89,97,88,79,1
361,182,0.5,16,53,97,97,1
362,135,0.8,45,31,54,25,1
363,217,0.5,150,106,10,21,0
364,79,0.1,18,104,90,50,1
365,249,0.8,51,84,48,58,1
366,79,0.4,148,88,24,94,1
367,202,0.5,149,20,3,6,0
368,66,0.7,9,60,31,88,1
369,161,0.6,37,94,16,97,1
370,23,0.5,15,63,40,81,0
371,106,0.5,87,99,35,67,1
372,28,0.6,12,14,46,77,0
373,225,0.2,85,36,57,18,0
374,108,0.5,89,127,11,39,0
375,32,0.4,88,10,13,11,0
376,140,0.2,17,36,37,70,0
377,59,0.6,66,95,78,9,1
378,156,0.5,98,58,41,44,1
379,99,0.9,106,16,72,78,1
380,41,0.3,72,95,4,23,0
381,137,0.4,10,90,16,11,0
382,214,0.4,81,30,22,32,0
383,12,0.8,81,61,29,55,1
384,55,0.0,113,34,82,84,1
385,241,0.3,58,81,46,42,1
386,201,0.4,126,39,44,36,0
387,124,0.8,51,88,46,13,1
388,149,0.8,44,64,23,48,1
389,128,0.7,7,119,92,96,1
390,125,0.5,110,123,10,78,1
391,174,1.0,20,124,15,27,0
392,17,1.0,136,19,55,38,0
393,240,0.0,148,89,60,86,1
394,14,0.1,148,88,68,74,1
395,41,0.7,63,43,14,28,0
396,116,0.4,53,16,83,26,0
397,177,0.7,136,26,21,18,1
398,81,0.3,44,48,97,85,1
399,224,1.0,83,102,12,61,1
400,237,0.3,16,40,32,8,0
401,61,0.2,64,89,44,70,1
402,29,0.9,92,12,37,25,0
403,131,0.8,139,27,15,52,1
404,192,0.5,31,48,43,26,0
405,93,0.1,101,93,34,36,1
406,26,0.7,119,67,24,88,1
407,91,0.7,101,73,67,69,1
408,62,0.2,61,84,94,86,1
409,185,0.0,111,64,76,7,1
410,125,0.5,85,123,62,55,1
411,204,0.9,134,110,88,87,1
412,49,0.3,102,118,10,94,0
413,224,0.6,66,28,90,44,1
414,211,0.5,67,81,26,28,1
415,55,1.0,145,45,83,92,1
416,201,0.3,97,125,17,21,0
417,114,0.1,69,123,96,89,1
418,56,0.2,117,129,98,51,1
419,24,0.7,145,50,87,11,0
420,231,0.9,92,47,96,93,1
421,27,0.1,42,130,87,5,0
422,199,0.3,123,18,81,50,1
423,235,0.8,71,75,94,89,1
424,114,0.8,122,106,67,87,1
425,26,0.1,100,100,99,45,0
426,144,0.2,102,81,40,8,1
427,86,0.3,43,127,56,63,1
428,146,0.2,96,112,40,69,1
429,101,0.7,65,30,48,99,1
430,143,0.8,19,119,38,71,1
431,231,0.4,20,17,17,35,0
432,130,0.3,47,130,81,34,1
433,103,1.0,60,26,98,57,1
434,17,0.4,122,75,47,61,1
435,157,0.5,42,58,66,68,1
436,22,0.3,12,14,54,39,0
437,36,1.0,54,52,82,85,1
438,205,0.5,140,118,75,11,1
439,47,0.7,9,38,88,65,0
440,236,0.2,98,54,51,82,1
441,249,0.5,85,19,68,37,0
442,153,0.1,91,38,54,34,0
443,166,0.4,146,35,46,72,1
444,239,0.8,34,107,22,18,1
445,21,0.1,61,112,56,70,1
446,182,0.6,22,122,37,64,1
447,15,0.3,81,11,42,53,0
448,59,0.9,107,41,29,18,1
449,41,0.7,95,81,6,78,1
450,172,0.9,146,114,88,5,1
451,214,1.0,126,79,96,13,1
452,167,0.6,98,91,98,70,1
453,166,0.7,13,57,80,47,1
454,213,0.1,26,100,78,46,1
455,233,0.2,102,77,22,20,1
456,228,0.5,60,92,90,17,1
457,49,0.8,117,79,62,56,1
458,235,0.8,56,23,77,70,1
459,8,0.0,137,20,19,87,0
460,130,0.6,60,67,87,11,1
461,182,0.5,10,45,39,25,0
462,98,0.6,141,96,44,36,1
463,71,1.0,23,71,69,77,1
464,160,0.8,69,86,68,50,1
465,59,0.6,24,122,53,36,1
466,130,0.2,56,12,57,94,1
467,17,0.7,55,102,78,60,1
468,147,0.8,104,75,19,44,1
469,143,0.9,80,81,8,12,1
470,195,0.8,73,80,54,40,1
471,102,0.9,48,24,62,60,1
472,218,0.6,20,81,39,26,1
473,117,0.8,97,78,5,56,1
474,42,0.5,7,24,90,74,0
475,90,0.5,38,99,12,6,0
476,165,0.3,58,36,23,67,1
477,179,0.4,75,50,20,81,0
478,67,0.8,21,42,72,94,1
479,232,0.1,11,117,16,27,0
480,197,0.1,44,40,57,71,1
481,63,0.3,42,94,34,40,1
482,182,0.9,91,11,62,40,1
483,193,0.3,50,41,93,85,1
484,240,0.9,88,45,38,48,1
485,194,0.8,5,20,12,18,0
486,186,0.2,135,27,92,100,1
487,216,0.9,75,60,42,9,1
488,248,0.4,95,27,75,59,1
489,160,0.9,131,64,89,85,1
490,201,0.4,7,130,12,67,0
491,95,0.1,29,118,73,88,1
492,97,1.0,52,87,11,28,1
493,42,0.1,101,29,18,77,0
494,35,0.6,138,54,50,17,1
495,152,0.5,118,69,8,20,0
496,12,0.4,20,84,39,67,0
497,69,0.4,134,85,28,18,1
498,104,0.4,122,49,13,27,0
499,90,0.4,117,27,32,30,0
500,70,0.4,81,21,19,65,0
501,137,0.6,105,49,24,92,1
502,10,0.5,114,34,45,18,0
503,102,0.5,122,107,16,26,0
504,212,0.1,58,46,93,48,1
505,133,0.2,87,55,57,38,1
506,30,0.4,128,49,25,21,0
507,186,0.1,94,106,91,90,1
508,52,0.9,23,70,56,91,1
509,112,1.0,68,124,82,50,1
510,90,0.9,78,52,58,41,1
511,29,0.5,12,94,23,64,0
512,170,0.5,25,26,51,49,0
513,138,0.9,68,115,80,37,1
514,238,0.7,47,60,62,90,1
515,226,0.3,119,103,44,76,1
516,43,0.3,84,50,6,33,0
517,55,0.7,42,104,64,94,1
518,88,0.9,128,115,71,40,1
519,38,0.6,52,102,75,52,1
520,11,0.9,125,59,51,98,1
521,123,0.1,52,48,83,68,1
522,33,0.2,118,92,61,95,1
523,222,0.1,108,54,93,13,1
524,22,0.3,106,57,7,20,0
525,86,0.7,134,116,84,39,1
526,246,0.5,38,21,27,89,1
527,31,0.1,142,66,95,32,0
528,186,0.5,91,82,59,69,1
529,5,0.3,21,124,62,47,0
530,29,0.6,59,94,39,68,1
531,28,0.4,56,118,3,69,0
532,163,0.5,29,61,20,45,0
533,219,0.4,146,59,36,65,1
534,221,0.4,10,76,96,11,0
535,121,0.1,84,110,75,36,1
536,59,1.0,123,104,76,54,1
537,11,0.8,127,111,7,73,1
538,216,0.2,19,77,74,27,0
539,238,0.2,30,59,54,31,0
540,229,0.7,54,96,13,65,1
541,89,0.6,45,32,23,29,1
542,247,0.3,78,129,42,90,1
543,32,0.1,118,122,53,72,1
544,109,0.3,101,12,41,40,0
545,31,0.7,16,83,50,74,1
546,79,0.7,11,70,70,92,1
547,95,0.5,29,119,72,49,1
548,10,0.2,85,14,26,82,0
549,129,0.9,108,53,61,65,1
550,204,1.0,83,120,83,19,1
551,210,0.1,55,116,83,58,1
552,42,0.7,30,124,61,63,1
553,13,0.4,94,48,89,19,0
554,237,0.8,38,66,52,46,1
555,92,0.1,102,20,71,16,0
556,24,0.6,95,57,11,82,1
557,186,0.4,42,75,11,73,1
558,11,0.7,122,30,12,93,0
559,26,0.7,45,57,20,54,1
560,176,0.6,22,62,97,71,1
561,128,0.7,124,53,4,26,1
562,181,0.2,123,69,14,92,1
563,246,0.2,123,101,99,37,1
564,30,0.5,45,69,25,74,1
565,11,0.7,64,38,26,24,0
566,135,0.4,109,79,5,89,1
567,106,0.6,67,25,59,80,1
568,243,0.7,64,22,98,28,1
569,243,0.0,40,113,19,16,0
570,41,0.9,59,109,45,62,1
571,130,0.1,129,47,52,66,1
572,114,0.8,49,125,45,82,1
573,191,0.1,108,62,76,86,1
574,101,0.7,40,87,39,31,1
575,111,0.1,69,64,56,30,1
576,146,0.0,11,17,34,30,0
577,248,0.9,65,13,58,37,1
578,124,0.5,38,18,76,40,0
579,127,0.1,113,123,12,65,1
580,56,0.4,79,81,27,72,1
581,200,0.6,72,92,52,51,1
582,85,0.0,92,104,27,23,1
583,106,0.6,122,50,63,64,1
584,135,0.8,102,28,8,53,1
585,181,1.0,113,81,13,76,1
586,119,0.9,22,126,28,93,1
587,37,0.7,83,69,63,55,1
588,124,0.3,119,49,9,27,0
589,140,0.9,122,13,40,96,1
590,127,0.5,40,94,61,46,1
591,168,0.4,105,68,71,20,1
592,139,0.2,43,63,33,9,1
593,82,0.6,19,119,20,52,1
594,182,1.0,105,38,40,85,1
595,27,0.6,111,27,20,29,0
596,124,0.2,131,74,58,76,1
597,20,0.3,88,84,75,83,1
598,221,0.9,123,96,16,30,1
599,86,0.1,109,114,75,14,1
600,26,0.7,106,127,93,77,1
601,120,0.7,71,105,85,14,1
602,42,0.9,84,129,60,29,1
603,180,0.5,72,36,92,91,1
604,225,0.3,89,124,15,93,1
605,67,0.7,117,116,85,73,1
606,121,0.5,125,43,93,79,1
607,93,0.2,118,45,55,35,0
608,162,0.2,138,115,31,7,1
609,73,0.1,95,118,63,38,1
610,173,0.4,141,62,75,60,1
611,72,0.8,29,12,60,85,1
612,244,0.7,97,51,38,64,1
613,217,0.8,80,81,61,81,1
614,21,0.4,56,124,39,59,1
615,171,0.6,97,115,66,93,1
616,222,0.2,32,45,24,8,0
617,46,0.7,6,42,40,81,0
618,58,0.0,39,103,8,51,1
619,154,0.4,41,40,74,88,1
620,69,0.8,54,90,97,95,1
621,201,0.2,120,27,41,34,0
622,96,0.2,146,77,37,17,1
623,214,0.7,141,26,88,12,1
624,176,0.2,102,117,75,45,1
625,164,0.4,140,51,45,9,1
626,187,0.3,119,113,57,45,1
627,120,0.9,108,81,20,95,1
628,241,0.2,110,51,82,78,1
629,209,0.7,58,125,15,61,1
630,172,0.7,104,58,77,9,1
631,194,0.6,110,59,60,95,1
632,53,0.6,8,103,3,16,0
633,10,0.8,132,85,67,9,1
634,227,0.5,126,89,33,5,1
635,64,0.8,138,62,27,60,1
636,65,0.1,142,119,51,43,1
637,226,0.7,105,99,36,89,1
638,118,0.5,94,70,82,78,1
639,48,0.7,120,105,87,78,1
640,69,0.1,24,19,72,75,0
641,103,0.8,109,106,20,17,1
642,127,0.2,88,103,83,20,1
643,250,0.4,128,104,88,92,1
644,42,0.7,147,29,9,13,0
645,123,0.4,105,25,37,80,1
646,113,0.3,107,70,62,93,1
647,247,0.1,48,79,53,38,1
648,59,0.4,141,94,80,73,1
649,152,0.7,143,107,18,51,1
650,162,0.7,82,68,64,8,1
651,243,0.8,88,127,50,6,1
652,204,0.9,10,85,67,51,1
653,184,0.1,108,117,62,14,1
654,37,0.8,104,89,4,12,0
655,201,0.2,82,28,7,51,0
656,164,0.4,140,103,35,24,1
657,197,0.2,34,66,50,41,0
658,169,0.2,125,36,74,82,1
659,230,0.6,123,76,30,89,1
660,27,0.3,27,105,27,43,0
661,106,0.6,19,82,78,64,1
662,222,0.3,11,115,91,59,1
663,12,0.7,123,87,35,19,1
664,113,0.6,15,117,79,34,1
665,241,0.7,113,62,60,29,1
666,238,0.1,10,35,46,13,0
667,11,0.8,110,81,49,31,1
668,5,0.8,111,81,47,39,1
669,198,0.4,12,92,34,5,0
670,217,0.1,120,118,20,78,1
671,138,0.4,122,111,74,43,1
672,170,0.2,131,41,8,25,0
673,168,0.8,119,86,54,41,1
674,47,0.2,102,108,91,44,0
675,64,0.3,65,35,49,40,0
676,99,0.4,51,25,57,86,1
677,243,0.2,128,21,34,75,1
678,148,0.9,38,23,4,99,1
679,181,0.5,127,40,55,45,0
680,213,0.5,150,35,12,29,0
681,102,0.6,93,72,21,5,1
682,211,0.1,82,113,28,20,1
683,47,0.9,108,22,3,72,0
684,185,0.8,105,55,92,31,1
685,118,0.4,87,13,22,91,1
686,211,0.1,150,61,58,80,1
687,87,0.3,138,37,23,9,0
688,138,0.7,128,104,95,14,1
689,186,0.2,5,96,24,98,1
690,240,0.9,68,116,29,80,1
691,19,0.1,37,50,83,11,0
692,55,0.4,141,84,41,92,1
693,208,0.6,121,68,23,27,1
694,63,0.4,31,39,96,43,0
695,189,0.1,87,67,91,79,1
696,154,0.7,90,43,43,43,1
697,50,0.9,79,125,99,20,1
698,52,0.9,14,26,74,23,0
699,96,1.0,116,103,51,37,1
700,35,0.0,58,94,71,56,1
701,195,0.7,26,76,11,69,1
702,157,0.8,28,90,3,67,1
703,42,0.1,110,79,5,15,0
704,100,0.8,133,14,81,81,1
705,11,0.3,50,51,76,49,1
706,12,0.6,149,95,28,78,1
707,7,0.1,93,105,18,22,0
708,146,0.4,42,58,47,41,1
709,12,0.4,55,105,27,41,0
710,26,0.0,85,29,36,44,0
711,247,0.5,42,21,76,63,1
712,157,0.6,46,110,52,95,1
713,241,0.2,144,50,74,99,1
714,148,0.3,147,43,5,24,0
715,55,0.9,33,30,58,37,0
716,218,0.5,114,73,70,71,1
717,211,0.8,56,124,21,100,1
718,110,0.6,63,72,95,64,1
719,187,0.2,127,83,18,27,0
720,247,0.7,122,77,27,6,1
721,51,0.6,29,13,95,74,1
722,60,0.5,51,25,63,41,0
723,163,0.4,36,59,72,94,1
724,241,0.8,85,67,94,94,1
725,242,0.8,122,10,20,52,1
726,47,0.9,68,103,86,32,1
727,187,0.2,45,84,6,60,1
728,126,0.3,60,40,25,97,1
729,37,0.9,62,80,83,98,1
730,28,0.8,108,85,25,68,1
731,84,0.2,38,104,68,77,1
732,42,0.9,21,62,13,57,0
733,125,0.1,97,43,48,8,0
734,136,0.2,28,62,82,19,0
735,156,0.9,85,25,46,36,1
736,34,0.6,23,67,66,29,0
737,44,0.4,140,119,98,6,0
738,50,0.5,123,32,55,57,0
739,49,0.0,44,107,65,76,1
740,155,0.2,82,61,75,71,1
741,201,0.3,108,10,33,58,1
742,246,0.9,140,31,32,81,1
743,148,0.7,15,78,15,87,1
744,112,1.0,91,96,32,13,1
745,212,0.2,106,118,85,15,1
746,151,0.8,107,63,32,61,1
747,147,0.6,146,25,39,13,1
748,145,0.9,49,109,69,47,1
749,152,0.6,128,93,80,11,1
750,63,0.7,60,111,76,38,1
751,193,0.5,6,21,69,88,0
752,32,1.0,80,37,9,25,0
753,157,0.3,15,127,80,74,1
754,23,0.3,114,35,43,75,0
755,30,0.3,48,109,25,46,1
756,59,1.0,100,31,76,39,1
757,202,0.8,87,31,22,96,1
758,224,0.3,146,62,41,28,1
759,29,0.1,101,79,53,64,1
760,137,0.5,94,78,66,82,1
761,12,0.9,45,72,16,40,0
762,9,0.1,99,57,87,90,1
763,73,0.5,140,91,77,41,1
764,161,0.8,23,51,38,37,1
765,154,0.6,62,22,27,59,1
766,236,0.3,36,60,61,60,1
767,161,1.0,30,102,3,77,1
768,249,0.6,82,92,93,19,1
769,185,0.8,43,74,99,81,1
770,128,0.5,87,120,94,9,1
